##############################################################################
## BCSC IOC CSV Feedlist - URLs                                              #
#                                                                            #
## Generado en la fecha 2021-07-09 11:17:15.158524                           #
##############################################################################
#
# value, event_info, event_date 
"an.gtrsqer.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"an.idrivecheck.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"an.idrivedownload.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"an.idrivedwn.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"an.idrivefinder.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"an.idriveupdate.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"an.service1boost.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.ayiyas.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.bithunterr.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.cantliee.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.chainnss.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.giveasees.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.havemosts.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.hungrrybaby.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.imagodd.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.lindasak.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.loockfinderrs.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.maybebaybe.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.mountasd.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.puckhunterrr.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.raidbossa.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.rapirasa.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.saynoforbubble.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.serviceboosterr.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.servicemount.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.serviceupdatter.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.servicewikii.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.shabihere.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.sibalsakie.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.sunofgodd.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.tarhungangster.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.tiancaii.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"as.voiddas.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"asd.errvghu.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bn.chekingking.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bn.jonsonsbabyy.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bn.loxliver.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bn.martahzz.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bn.realgamess.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bn.servicegungster.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bn.wondergodst.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bn.zetrexx.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bn.zhameharden.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bv.backup1services.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bv.backupmaster-service.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bv.backupmasterservice.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bv.simple-backupbooster.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bv.top3-services.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bv.topbackup-helper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bv.topbackupintheworld.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bv.topservice-masters.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"bv.topservicebooster.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"cv.bugsbunnyy.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"cv.mixunderax.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"cv.qascker.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"cv.sweetmonsterr.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"cv.wodemayaa.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"df.bugsbunnyy.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"df.mixunderax.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"df.qascker.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"df.sweetmonsterr.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"df.wodemayaa.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"er.bugsbunnyy.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"er.mixunderax.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"er.qascker.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"er.sweetmonsterr.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"er.wodemayaa.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"fg.cheapshhot.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"fg.gungameon.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"fg.gunsdrag.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"fg.hybriqdjs.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"fg.luckyhunterrs.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"fg.quwasd.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"fg.remotessa.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"fg.secondlivve.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"fg.sobcase.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"fg.unlockwsa.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ga.biliyilish.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ga.kungfupandasa.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gf.backup1services.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gf.backupmaster-service.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gf.backupmasterservice.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gf.simple-backupbooster.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gf.top3-services.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gf.topbackup-helper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gf.topbackupintheworld.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gf.topservice-masters.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gf.topservicebooster.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gh.chekingking.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gh.jonsonsbabyy.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gh.loxliver.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gh.martahzz.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gh.realgamess.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gh.servicegungster.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gh.wondergodst.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gh.zetrexx.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"gh.zhameharden.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ha.blackhoall.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"hg.backups1helper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"hg.driver-boosters.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"hg.driver1downloads.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"hg.driverjumper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"hg.service-hel.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"hg.service1update.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"hg.service1view.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"hg.servicehel.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"hg.servicereader.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"hg.top3servicebooster.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"hg.view-backup.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"hs.bouths.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"jh.best-backup.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"jh.best-nas.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"jh.bestservicehelper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"jh.top-backuphelper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"jh.top-backupservice.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"kl.gtrsqer.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.backup-helper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.backup-leader.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.backup-simple.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.backup1helper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.backup1master.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.bakcup-checker.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.bakcup-monster.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.best-backup.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.best-nas.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.bestservicehelper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.boost-servicess.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.boost-yourservice.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.caonimas.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.checktodrivers.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.driver1master.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.driver1updater.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.driverdwl.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.fastbloodhunter.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.harddagger.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.idrivecheck.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.idrivedownload.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.idrivedwn.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.idrivefinder.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.idrivehepler.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.idriveupdate.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.nas-leader.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.nas-simple-helper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.nomadfunclub.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.razorses.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.regbed.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.service-checker.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.service-leader.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.service1updater.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.serviceswork.net","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.top-backuphelper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.top-backupservice.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.viewdrivers.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mn.vnuret.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"mv.check1domains.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nb.backups1helper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nb.driver-boosters.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nb.driver1downloads.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nb.driverjumper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nb.service-hel.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nb.service1update.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nb.service1view.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nb.servicehel.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nb.servicereader.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nb.top3servicebooster.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nb.view-backup.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nj.errvghu.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.backup-helper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.backup-leader.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.backup-simple.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.backup1helper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.backup1master.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.bakcup-checker.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.bakcup-monster.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.boost-servicess.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.boost-yourservice.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.checktodrivers.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.driver1master.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.driver1updater.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.driverdwl.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.idrivecheck.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.idrivedownload.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.idrivedwn.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.idrivefinder.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.idriveupdate.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.nas-leader.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.nas-simple-helper.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.regbed.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.service-checker.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.service-leader.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.service1boost.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.service1updater.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.serviceswork.net","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.shabihere.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.viewdrivers.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"nm.vnuret.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.aaatus.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.avrenew.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.besttus.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.bigtus.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.checkwinupdate.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.ciscocheckapi.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.cleardefencewin.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.cmdupdatewin.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.comssite.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.cylenceprotect.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.defenswin.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.easytus.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.errvghu.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.findtus.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.firsttus.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.freeallsafe.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.freeoldsafe.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.greattus.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.gtrsqer.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.havesetup.net","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.iexploreservice.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.jomamba.best","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.livecheckpointsrs.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.livetus.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ns1.lsassupdate.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
